method,size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
qsr,496606299,3,6,../datasets/sift,3.84132,0.8477,1.00188,128,0,16
qsr,653999206,4,7,../datasets/sift,5.05878,0.9198,1.00048,128,0,16
qsr,827151105,5,8,../datasets/sift,6.39814,0.962,1.00012,128,0,16
qsr,1003187786,6,9,../datasets/sift,7.75981,0.9815,1.00003,128,0,16
qsr,355091619,1,5,../datasets/sift,2.74669,0.7053,1.00848,128,0,16
qsr,494918823,2,6,../datasets/sift,3.82827,0.8464,1.00204,128,0,16
qsr,655950659,3,7,../datasets/sift,5.07388,0.9214,1.00048,128,0,16
qsr,827296612,4,8,../datasets/sift,6.39926,0.9592,1.00013,128,0,16
qsr,1000566718,5,9,../datasets/sift,7.73953,0.9801,1.00003,128,0,16
qsr,478966442,1,6,../datasets/sift,3.70488,0.8048,1.00399,128,0,16
qsr,642884785,2,7,../datasets/sift,4.97281,0.9004,1.00082,128,0,16
qsr,813698315,3,8,../datasets/sift,6.29408,0.9456,1.00022,128,0,16
qsr,985763586,4,9,../datasets/sift,7.62503,0.9738,1.00005,128,0,16
qsr,581620822,1,7,../datasets/sift,4.49892,0.8264,1.00265,128,0,16
qsr,646936869,1,8,../datasets/sift,5.00415,0.8198,1.00327,128,0,16
qsr,752839696,2,8,../datasets/sift,5.82333,0.914,1.00054,128,0,16
qsr,688234596,1,9,../datasets/sift,5.3236,0.8274,1.00275,128,0,16
qsr,819667742,2,9,../datasets/sift,6.34025,0.913,1.00057,128,0,16
qsr,927187446,3,9,../datasets/sift,7.17193,0.9556,1.00015,128,0,16
