size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
1.13234339E9,8,10,../datasets/clusters,8.846432734375,0.9343,1.00011,128,0.0,2,
1.19030149E9,9,10,../datasets/clusters,9.299230390625,0.9582,1.00004,128,0.0,2,
1.07617268E8,1,2,../datasets/clusters,0.84075990625,5.0E-4,1.22511,128,0.0,2,
1.93699353E8,1,3,../datasets/clusters,1.5132761953125,0.001,1.21034,128,0.0,2,
2.4856799E8,2,3,../datasets/clusters,1.941937421875,0.0031,1.17791,128,0.0,2,
2.02212681E8,1,4,../datasets/clusters,1.5797865703125,6.0E-4,1.20841,128,0.0,2,
3.26679534E8,2,4,../datasets/clusters,2.552183859375,0.0134,1.14543,128,0.0,2,
3.907468E8,3,4,../datasets/clusters,3.052709375,0.0348,1.09997,128,0.0,2,
2.05261311E8,1,5,../datasets/clusters,1.6036039921875,0.0013,1.21164,128,0.0,2,
3.37911254E8,2,5,../datasets/clusters,2.639931671875,0.0134,1.14844,128,0.0,2,
4.6193881E8,3,5,../datasets/clusters,3.608896953125,0.1086,1.06297,128,0.0,2,
5.38120192E8,4,5,../datasets/clusters,4.204064,0.199,1.03541,128,0.0,2,
2.13787859E8,1,6,../datasets/clusters,1.6702176484375,0.0013,1.214,128,0.0,2,
3.40612895E8,2,6,../datasets/clusters,2.6610382421875,0.0072,1.16334,128,0.0,2,
4.68173834E8,3,6,../datasets/clusters,3.657608078125,0.1359,1.05452,128,0.0,2,
5.96070645E8,4,6,../datasets/clusters,4.6568019140625,0.3032,1.02404,128,0.0,2,
6.5476185E8,5,6,../datasets/clusters,5.115326953125,0.4808,1.0094,128,0.0,2,
2.18355962E8,1,7,../datasets/clusters,1.705905953125,0.001,1.21288,128,0.0,2,
3.47618924E8,2,7,../datasets/clusters,2.71577284375,0.0112,1.15614,128,0.0,2,
4.74208842E8,3,7,../datasets/clusters,3.704756578125,0.107,1.06296,128,0.0,2,
6.04094695E8,4,7,../datasets/clusters,4.7194898046875,0.2907,1.0258,128,0.0,2,
7.28506265E8,5,7,../datasets/clusters,5.6914551953125,0.5627,1.00674,128,0.0,2,
7.77855624E8,6,7,../datasets/clusters,6.0769970625,0.7193,1.00233,128,0.0,2,
2.19577504E8,1,8,../datasets/clusters,1.71544925,0.0011,1.20955,128,0.0,2,
3.49973016E8,2,8,../datasets/clusters,2.7341641875,0.01,1.14957,128,0.0,2,
4.76241825E8,3,8,../datasets/clusters,3.7206392578125,0.1118,1.06132,128,0.0,2,
6.07241365E8,4,8,../datasets/clusters,4.7440731640625,0.3168,1.02265,128,0.0,2,
7.38284164E8,5,8,../datasets/clusters,5.76784503125,0.5956,1.00551,128,0.0,2,
8.63672397E8,6,8,../datasets/clusters,6.7474406015625,0.7719,1.00149,128,0.0,2,
