size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
4.10147501E8,2,6,../datasets/sift,3.172551833230198,0.3553,1.06519,128,0.0,4,
5.32365763E8,3,6,../datasets/sift,4.1179282410272275,0.6628,1.01125,128,0.0,4,
6.17656584E8,4,6,../datasets/sift,4.777665408415841,0.8086,1.0031,128,0.0,4,
6.36142665E8,5,6,../datasets/sift,4.920657990408416,0.8469,1.00202,128,0.0,4,
2.89193287E8,1,7,../datasets/sift,2.236953024443069,0.1536,1.19984,128,0.0,4,
4.2229794E8,2,7,../datasets/sift,3.2665372834158415,0.3756,1.05721,128,0.0,4,
5.45425084E8,3,7,../datasets/sift,4.218944028465346,0.6797,1.01003,128,0.0,4,
6.75283464E8,4,7,../datasets/sift,5.223417883663366,0.8098,1.00318,128,0.0,4,
7.6875324E8,5,7,../datasets/sift,5.946420482673267,0.8962,1.00087,128,0.0,4,
7.81897471E8,6,7,../datasets/sift,6.048093061571782,0.9177,1.00052,128,0.0,4,
2.96655094E8,1,8,../datasets/sift,2.2946712097772277,0.1502,1.1936,128,0.0,4,
4.27249598E8,2,8,../datasets/sift,3.3048390934405942,0.4076,1.04904,128,0.0,4,
5.5972863E8,3,8,../datasets/sift,4.329584081064357,0.6636,1.0117,128,0.0,4,
6.86073271E8,4,8,../datasets/sift,5.306878643254951,0.8184,1.00286,128,0.0,4,
8.10697496E8,5,8,../datasets/sift,6.270865532178218,0.9072,1.00062,128,0.0,4,
8.97782248E8,6,8,../datasets/sift,6.9444790222772275,0.9487,1.00018,128,0.0,4,
9.31779134E8,7,8,../datasets/sift,7.207449984529703,0.9603,1.00011,128,0.0,4,
3.06946907E8,1,9,../datasets/sift,2.3742799118193068,0.1358,1.22185,128,0.0,4,
4.36611036E8,2,9,../datasets/sift,3.377251206683168,0.4091,1.05326,128,0.0,4,
5.67313898E8,3,9,../datasets/sift,4.388257255569307,0.6634,1.01135,128,0.0,4,
6.99268793E8,4,9,../datasets/sift,5.4089479656559405,0.8257,1.00263,128,0.0,4,
8.25920716E8,5,9,../datasets/sift,6.388619399752475,0.9032,1.00073,128,0.0,4,
9.51431277E8,6,9,../datasets/sift,7.359462229269802,0.9483,1.00019,128,0.0,4,
1.045479894E9,7,9,../datasets/sift,8.086942249381188,0.9727,1.00005,128,0.0,4,
1.066555121E9,8,9,../datasets/sift,8.249962260210395,0.9801,1.00004,128,0.0,4,
